city,city_ascii,country,latitude,longitude,population
Nabire,Nabire,Indonesia,-3.3515,135.5134,43898
Hagere Hiywet,Hagere Hiywet,Ethiopia,8.9804,37.85,43920
Naivasha,Naivasha,Kenya,-0.7096,36.43,43983
Belleville,Belleville,Canada,44.1667,-77.3833,43990
Voznesensk,Voznesensk,Ukraine,47.5504,31.3333,43996
Alapayevsk,Alapayevsk,Russia,57.8465,61.6915,44000
Timashevsk,Timashevsk,Russia,45.6247,38.9444,44024
Port Vila,Port Vila,Vanuatu,-17.7334,168.3166,44040
Inhumas,Inhumas,Brazil,-16.36,-49.5,44058
Pinehurst,Pinehurst,United States,35.1922,-79.4682,44070
Bountiful,Bountiful,United States,40.8722,-111.8647,44078
Chitré,Chitre,Panama,7.97,-80.42,44082
Padangpanjang,Padangpanjang,Indonesia,-0.4496,100.4167,44096
Morgan Hill,Morgan Hill,United States,37.1324,-121.641,44155
Roseburg,Roseburg,United States,43.2228,-123.3519,44176
Taree,Taree,Australia,-31.8976,152.4618,44182
Pärnu,Parnu,Estonia,58.3747,24.5136,44192
Winneba,Winneba,Ghana,5.3504,-0.63,44254
Atar,Atar,Mauritania,20.5166,-13.05,44265
Villa Constitución,Villa Constitucion,Argentina,-33.23,-60.35,44271
Roskilde,Roskilde,Denmark,55.65,12.0833,44285
Selma,Selma,United States,36.5743,-119.6156,44292
Aracati,Aracati,Brazil,-4.56,-37.77,44293
Oakland Park,Oakland Park,United States,26.1779,-80.1527,44326
Haltom City,Haltom City,United States,32.8176,-97.2707,44361
Bluefields,Bluefields,Nicaragua,12,-83.7649,44373
Huancavelica,Huancavelica,Peru,-12.79,-74.99,44388
Umm al Qaywayn,Umm al Qaywayn,United Arab Emirates,25.5653,55.5533,44411
Del Rio,Del Rio,United States,29.3706,-100.8798,44414
Attleboro,Attleboro,United States,41.9311,-71.295,44434
Aliwal North,Aliwal North,South Africa,-30.6896,26.71,44436
Cobija,Cobija,Bolivia,-11.0333,-68.7333,44437
Camocim,Camocim,Brazil,-2.9,-40.85,44481
Farmington,Farmington,United States,37.782,-90.4287,44494
Zvolen,Zvolen,Slovakia,48.5837,19.1332,44502
Trollhättan,Trollhattan,Sweden,58.2671,12.3,44543
Bothell,Bothell,United States,47.774,-122.2039,44546
Akhtubinsk,Akhtubinsk,Russia,48.2787,46.1687,44551
Kamenna Obi,Kamenna Obi,Russia,53.7936,81.3388,44564
Kabale,Kabale,Uganda,-1.2496,29.98,44600
Danville,Danville,United States,37.8121,-121.9698,44631
Strongsville,Strongsville,United States,41.3128,-81.8313,44631
Cleveland Heights,Cleveland Heights,United States,41.5112,-81.5636,44633
Artemovskiy,Artemovskiy,Russia,57.3652,61.8698,44689
Linden,Linden,Guyana,5.99,-58.27,44690
Cutler Bay,Cutler Bay,United States,25.5765,-80.3357,44707
Beaufort West,Beaufort West,South Africa,-32.3496,22.57,44737
Chone,Chone,Ecuador,-0.6896,-80.09,44751
Sisaket,Sisaket,Thailand,15.1203,104.3298,44751
Hackensack,Hackensack,United States,40.8889,-74.0461,44756
Strezhevoy,Strezhevoy,Russia,60.7332,77.5777,44784
Ocoee,Ocoee,United States,28.5785,-81.5336,44820
Angol,Angol,Chile,-37.79,-72.71,44856
Piripiri,Piripiri,Brazil,-4.2696,-41.79,44864
Vallenar,Vallenar,Chile,-28.57,-70.76,44895
Sayreville,Sayreville,United States,40.4655,-74.3237,44905
Coachella,Coachella,United States,33.691,-116.1451,44953
Itanagar,Itanagar,India,27.1004,93.6166,44971
Shahhat,Shahhat,Libya,32.8281,21.8622,45000
Usinsk,Usinsk,Russia,65.923,57.403,45000
Burleson,Burleson,United States,32.52,-97.3341,45016
Iganga,Iganga,Uganda,0.6092,33.4686,45024
Eureka,Eureka,United States,40.7941,-124.1568,45091
Leiria,Leiria,Portugal,39.739,-8.805,45112
Quincy,Quincy,United States,39.9335,-91.3796,45113
Inverness,Inverness,United Kingdom,57.4671,-4.2333,45158
Chernyakhovsk,Chernyakhovsk,Russia,54.6316,21.8109,45187
Shebekino,Shebekino,Russia,50.4144,36.8944,45194
Cametá,Cameta,Brazil,-2.2396,-49.51,45200
Rida,Rida,Yemen,14.4295,44.8341,45233
Manitowoc,Manitowoc,United States,44.099,-87.6812,45261
Fort Pierce,Fort Pierce,United States,27.4263,-80.3421,45295
Salcedo,Salcedo,Dominican Republic,19.383,-70.4167,45299
Dédougou,Dedougou,Burkina Faso,12.455,-3.464,45341
Beaumont,Beaumont,United States,33.9052,-116.976,45349
Joliette,Joliette,Canada,46.0333,-73.4333,45361
Olbia,Olbia,Italy,40.9143,9.5151,45366
Sololá,Solola,Guatemala,14.773,-91.183,45373
Liberia,Liberia,Costa Rica,10.6338,-85.4333,45380
Birak,Birak,Libya,27.5333,14.2834,45421
Oroville,Oroville,United States,39.5,-121.5647,45445
Hollister,Hollister,United States,36.8564,-121.3981,45496
Yefremov,Yefremov,Russia,53.1491,38.1215,45497
Dublin,Dublin,United States,40.1112,-83.1451,45568
Shaoyang,Shaoyang,China,27,111.2001,45617
Komatini,Komatini,Greece,41.1333,25.4167,45631
Puttalan,Puttalan,Sri Lanka,8.033,79.826,45661
Maricopa,Maricopa,United States,33.0447,-112.0164,45666
Volkhov,Volkhov,Russia,59.9291,32.3387,45673
Buta,Buta,Congo (Kinshasa),2.82,24.74,45677
Mozdok,Mozdok,Russia,43.7543,44.6544,45702
Marion,Marion,United States,40.5933,-83.1237,45718
Wajir,Wajir,Kenya,1.7504,40.05,45771
Mae Sot,Mae Sot,Thailand,16.7162,98.5708,45781
Coihaique,Coihaique,Chile,-45.57,-72.07,45787
Newark,Newark,United States,37.5204,-122.0312,45810
Irati,Irati,Brazil,-25.47,-50.66,45830
Jalapa,Jalapa,Guatemala,14.633,-89.989,45834
Gbarnga,Gbarnga,Liberia,7.0104,-9.49,45835
Ayakoz,Ayakoz,Kazakhstan,47.9647,80.4297,45861
West Lafayette,West Lafayette,United States,40.4432,-86.9239,45872
Apsheronsk,Apsheronsk,Russia,44.4687,39.7287,45876
Spassk Dalniy,Spassk Dalniy,Russia,44.6002,132.8198,45900
Nevers,Nevers,France,46.9837,3.1667,45929
Santiago,Santiago,Panama,8.1004,-80.9833,45955
Biloxi,Biloxi,United States,30.4393,-88.9542,45975
Mahdia,Mahdia,Tunisia,35.4839,11.0409,45977
Kohtla-Järve,Kohtla-Jarve,Estonia,59.4,27.2833,46060
Tupelo,Tupelo,United States,34.2637,-88.7298,46095
Manono,Manono,Congo (Kinshasa),-7.3,27.45,46111
Pechora,Pechora,Russia,65.1587,57.2087,46113
Östersund,Ostersund,Sweden,63.1833,14.65,46178
Kibungo,Kibungo,Rwanda,-2.1667,30.5333,46240
Berekum,Berekum,Ghana,7.4504,-2.59,46287
Lufkin,Lufkin,United States,31.3206,-94.729,46325
Littleton,Littleton,United States,39.5912,-105.0193,46333
Nadym,Nadym,Russia,65.5298,72.5148,46339
Everett,Everett,United States,42.4064,-71.0544,46340
Beavercreek,Beavercreek,United States,39.7312,-84.0627,46376
Sahuarita,Sahuarita,United States,31.9328,-110.9654,46385
Elmhurst,Elmhurst,United States,41.8973,-87.9432,46387
Alatyr,Alatyr,Russia,54.8504,46.6,46427
Kita,Kita,Mali,13.0504,-9.4833,46435
Leavenworth,Leavenworth,United States,39.3225,-94.9246,46445
Middelburg,Middelburg,Netherlands,51.502,3.61,46485
Middletown,Middletown,United States,41.5476,-72.6549,46544
Mikkeli,Mikkeli,Finland,61.69,27.285,46550
Galveston,Galveston,United States,29.2487,-94.891,46610
Safonovo,Safonovo,Russia,55.1465,33.2161,46637
Keller,Keller,United States,32.9337,-97.2256,46646
Carrollton,Carrollton,United States,33.5819,-85.0837,46695
Aweil,Aweil,South Sudan,8.7666,27.4,46705
Kokkola,Kokkola,Finland,63.8333,23.1167,46714
Njombe,Njombe,Tanzania,-9.3296,34.77,46724
Mentor,Mentor,United States,41.6895,-81.3361,46732
Zhetiqara,Zhetiqara,Kazakhstan,52.193,61.2399,46740
Leopoldina,Leopoldina,Brazil,-21.53,-42.64,46742
Choma,Choma,Zambia,-16.8095,26.97,46746
Kanye,Kanye,Botswana,-24.9696,25.34,46831
New Philadelphia,New Philadelphia,United States,40.486,-81.4402,46838
Berat,Berat,Albania,40.71,19.972,46866
New Amsterdam,New Amsterdam,Guyana,6.25,-57.53,46874
Sandnes,Sandnes,Norway,58.8454,5.69,46911
Boosaaso,Boosaaso,Somalia,11.28,49.18,46969
Amursk,Amursk,Russia,50.2228,136.8974,46993
Nacaome,Nacaome,Honduras,13.53,-87.49,47000
Dila,Dila,Ethiopia,6.4104,38.31,47021
Lincoln,Lincoln,United States,38.8749,-121.2943,47030
Yishan,Yishan,China,24.5004,108.6667,47062
Bentonville,Bentonville,United States,36.3579,-94.2286,47093
Busia,Busia,Uganda,0.4544,34.0758,47100
Poso,Poso,Indonesia,-1.3896,120.76,47110
Mandeville,Mandeville,Jamaica,18.033,-77.5,47115
Salina,Salina,United States,38.8143,-97.6151,47123
Progreso,Progreso,Mexico,21.2833,-89.6666,47124
Jeffersonville,Jeffersonville,United States,38.3377,-85.7026,47124
Tres Arroyos,Tres Arroyos,Argentina,-38.37,-60.2699,47136
Poti,Poti,Georgia,42.1557,41.6716,47149
Breves,Breves,Brazil,-1.68,-50.49,47164
Rosso,Rosso,Mauritania,16.524,-15.8127,47203
Antalaha,Antalaha,Madagascar,-14.8833,50.2833,47224
Meru,Meru,Kenya,0.06,37.64,47226
Lamia,Lamia,Greece,38.899,22.434,47246
Hämeenlinna,Hameenlinna,Finland,60.997,24.472,47261
Mozhga,Mozhga,Russia,56.4548,52.1843,47270
Buriram,Buriram,Thailand,15.0004,103.1166,47292
Itaberaba,Itaberaba,Brazil,-12.5196,-40.3,47301
Draper,Draper,United States,40.4956,-111.8607,47328
East Providence,East Providence,United States,41.8064,-71.3565,47337
Apex,Apex,United States,35.7248,-78.866,47349
Euclid,Euclid,United States,41.5904,-81.5188,47360
Ladysmith,Ladysmith,South Africa,-28.5495,29.78,47375
Cookeville,Cookeville,United States,36.1485,-85.5114,47381
Gryazi,Gryazi,Russia,52.4948,39.9343,47413
San Jacinto,San Jacinto,United States,33.797,-116.9915,47413
Montana,Montana,Bulgaria,43.414,23.237,47445
Glenview,Glenview,United States,42.0825,-87.8215,47475
Aksum,Aksum,Ethiopia,14.1304,38.72,47487
Campo Belo,Campo Belo,Brazil,-20.8896,-45.28,47491
Sandusky,Sandusky,United States,41.4472,-82.7009,47494
Kafue,Kafue,Zambia,-15.78,28.18,47554
Badulla,Badulla,Sri Lanka,6.9837,81.0499,47587
Roseville,Roseville,United States,42.5074,-82.937,47602
Mtsensk,Mtsensk,Russia,53.2647,36.5472,47609
San Lorenzo,San Lorenzo,Argentina,-28.12,-58.77,47626
Itamaraju,Itamaraju,Brazil,-17.0396,-39.5299,47628
Amahai,Amahai,Indonesia,-3.3281,128.9405,47653
Chesterfield,Chesterfield,United States,38.6588,-90.5805,47659
Autlan,Autlan,Mexico,19.77,-104.37,47669
Hlotse,Hlotse,Lesotho,-28.878,28.056,47675
Lacey,Lacey,United States,47.0444,-122.7933,47688
Palm Springs,Palm Springs,United States,33.8012,-116.538,47689
Wylie,Wylie,United States,33.0353,-96.517,47701
Alayat Samail,Alayat Samail,Oman,23.3032,57.9782,47718
Moyobamba,Moyobamba,Peru,-6.0496,-76.9667,47734
Capanema,Capanema,Brazil,-1.19,-47.18,47766
Ålesund,Alesund,Norway,62.5454,6.388,47772
Luwuk,Luwuk,Indonesia,-0.9396,122.79,47778
Pine Bluff,Pine Bluff,United States,34.2119,-92.0174,47784
Saint Cloud,Saint Cloud,United States,28.2297,-81.2853,47809
Cutral Có,Cutral Co,Argentina,-38.94,-69.24,47814
Ratnapura,Ratnapura,Sri Lanka,6.693,80.386,47832
Kannapolis,Kannapolis,United States,35.4766,-80.6391,47839
Huajuapan de León,Huajuapan de Leon,Mexico,17.8104,-97.79,47844
Lawrence,Lawrence,United States,39.8674,-85.9904,47866
Mildura,Mildura,Australia,-34.185,142.1514,47867
Goianésia,Goianesia,Brazil,-15.3096,-49.13,47883
Guaxupé,Guaxupe,Brazil,-21.29,-46.71,47889
Wauwatosa,Wauwatosa,United States,43.0616,-88.0347,47945
Madison,Madison,United States,34.7113,-86.7617,47959
El Kef,El Kef,Tunisia,36.1826,8.7148,47979
Danville,Danville,United States,36.5831,-79.4088,48015
Kibuye,Kibuye,Rwanda,-2.05,29.35,48024
Belaya Kalitva,Belaya Kalitva,Russia,48.1865,40.7861,48098
Farmington,Farmington,United States,36.7559,-108.1827,48137
Muğla,Mugla,Turkey,37.2164,28.3639,48183
Ponte Nova,Ponte Nova,Brazil,-20.4096,-42.9,48187
Stillwater,Stillwater,United States,36.1315,-97.074,48233
Ceres,Ceres,United States,37.5954,-120.9624,48278
Mao,Mao,Dominican Republic,19.552,-71.075,48297
Buchanan,Buchanan,Liberia,5.9161,-10.0525,48315
Rio Verde,Rio Verde,Brazil,-17.8196,-50.93,48318
Cedar Hill,Cedar Hill,United States,32.5809,-96.9592,48343
Bulungu,Bulungu,Congo (Kinshasa),-4.5496,18.6,48344
Asadabad,Asadabad,Afghanistan,34.866,71.15,48400
Wakema,Wakema,Burma,16.6133,95.1829,48405
Cojutepeque,Cojutepeque,El Salvador,13.7167,-88.9333,48411
Gyzlarbat,Gyzlarbat,Turkmenistan,38.9755,56.2778,48458
Senhor do Bonfim,Senhor do Bonfim,Brazil,-10.4496,-40.19,48471
Valladolid,Valladolid,Mexico,20.6704,-88.2,48479
Portage,Portage,United States,42.2,-85.5907,48508
Rio Grande City,Rio Grande City,United States,26.3808,-98.8215,48516
Vigan,Vigan,Philippines,17.5747,120.3869,48545
Torzhok,Torzhok,Russia,57.0291,34.9787,48546
Port Macquarie,Port Macquarie,Australia,-31.445,152.9187,48547
Covina,Covina,United States,34.0903,-117.8817,48549
Serowe,Serowe,Botswana,-22.39,26.71,48573
Floriano,Floriano,Brazil,-6.7696,-43.03,48587
Namtu,Namtu,Burma,23.0837,97.4,48591
Smyrna,Smyrna,United States,35.9732,-86.5242,48596
Songkhla,Songkhla,Thailand,7.21,100.56,48616
Niagara Falls,Niagara Falls,United States,43.0921,-79.0147,48632
Morehead City,Morehead City,United States,34.7307,-76.7383,48637
Luleå,Lulea,Sweden,65.5966,22.1584,48638
Mishawaka,Mishawaka,United States,41.6733,-86.1667,48679
Megion,Megion,Russia,61.0608,76.0953,48691
Findlay,Findlay,United States,41.046,-83.638,48701
Saint Louis Park,Saint Louis Park,United States,44.9488,-93.365,48747
Danville,Danville,United States,40.1422,-87.6113,48785
Cornwall,Cornwall,Canada,45.0171,-74.7333,48821
Waingapu,Waingapu,Indonesia,-9.6582,120.253,48828
East Lansing,East Lansing,United States,42.7483,-84.4834,48870
Dunwoody,Dunwoody,United States,33.9418,-84.3123,48884
Reedley,Reedley,United States,36.5988,-119.4473,48897
Barra do Corda,Barra do Corda,Brazil,-5.5096,-45.26,48901
Cypress,Cypress,United States,33.8171,-118.0386,48906
Larnaka,Larnaka,Cyprus,34.917,33.636,48947
Slobodskoy,Slobodskoy,Russia,58.7185,50.188,48962
Rancho Santa Margarita,Rancho Santa Margarita,United States,33.6318,-117.5989,48969
Changyon,Changyon,"Korea, North",38.2517,125.1021,48984
Verkhnyaya Salda,Verkhnyaya Salda,Russia,58.0502,60.5498,48992
Paducah,Paducah,United States,37.0711,-88.6435,49027
Mollendo,Mollendo,Peru,-17.02,-72.02,49033
Shawinigan,Shawinigan,Canada,46.5504,-72.7333,49161
Fengjie,Fengjie,China,31.0504,109.5167,49168
Enid,Enid,United States,36.4061,-97.8701,49176
Collierville,Collierville,United States,35.0474,-89.6989,49177
Bullhead City,Bullhead City,United States,35.1205,-114.546,49184
Invercargill,Invercargill,New Zealand,-46.4094,168.365,49200
Cuyahoga Falls,Cuyahoga Falls,United States,41.1641,-81.5206,49206
La Mirada,La Mirada,United States,33.9025,-118.0093,49216
I-n-Salah,I-n-Salah,Algeria,27.2166,2.4666,49223
Murray,Murray,United States,40.6498,-111.8875,49230
Timimoun,Timimoun,Algeria,29.2365,0.27,49237
Uniontown,Uniontown,United States,39.8994,-79.7244,49241
Libertador General San Martín,Libertador General San Martin,Argentina,-23.8195,-64.79,49267
Waterford,Waterford,Ireland,52.2583,-7.1119,49275
Ruzayevka,Ruzayevka,Russia,54.0643,44.9244,49311
Summerville,Summerville,United States,33.0038,-80.1794,49323
Quixadá,Quixada,Brazil,-4.97,-39.02,49328
Mercedes,Mercedes,Argentina,-33.6896,-65.47,49345
Alexandria,Alexandria,Romania,43.9016,25.2867,49346
Morshansk,Morshansk,Russia,53.4547,41.8044,49350
Monroe,Monroe,United States,41.9157,-83.3852,49389
Apopka,Apopka,United States,28.7006,-81.5303,49458
Downers Grove,Downers Grove,United States,41.7947,-88.017,49473
Kingstown,Kingstown,Saint Vincent And The Grenadines,13.1483,-61.2121,49485
Pascagoula,Pascagoula,United States,30.3665,-88.5507,49504
Ifakara,Ifakara,Tanzania,-8.1296,36.68,49528
Bedford,Bedford,United States,32.8464,-97.135,49528
Roswell,Roswell,United States,33.3729,-104.5294,49540
Berber,Berber,Sudan,18.017,33.9833,49556
Vryburg,Vryburg,South Africa,-26.96,24.73,49588
Azusa,Azusa,United States,34.1386,-117.9124,49628
Wilson,Wilson,United States,35.7311,-77.9284,49644
Zyryanovsk,Zyryanovsk,Kazakhstan,49.7453,84.2548,49658
Traverse City,Traverse City,United States,44.7545,-85.6034,49690
Troy,Troy,United States,42.7354,-73.6751,49702
Cumberland,Cumberland,United States,39.6515,-78.7585,49707
Chachoengsao,Chachoengsao,Thailand,13.679,101.076,49741
Dosso,Dosso,Niger,13.05,3.2,49750
Lota,Lota,Chile,-37.0896,-73.16,49763
Tacheng,Tacheng,China,46.75,82.95,49796
Helena,Helena,United States,46.5963,-112.0196,49812
Zaranj,Zaranj,Afghanistan,31.112,61.887,49851
Odienné,Odienne,C𴥠DӉvoire,9.5104,-7.58,49857
Monchegorsk,Monchegorsk,Russia,67.9291,32.8287,49868
Kanash,Kanash,Russia,55.5091,47.4687,49886
Methuen,Methuen,United States,42.734,-71.1889,49917
Maun,Maun,Botswana,-19.9896,23.42,49945
Chake Chake,Chake Chake,Tanzania,-5.2395,39.77,49959
El Kharga,El Kharga,Egypt,25.44,30.55,49991
Pa-an,Pa-an,Burma,16.85,97.6167,50000
Bairin Zuoqi,Bairin Zuoqi,China,43.9837,119.1834,50000
Kahemba,Kahemba,Congo (Kinshasa),-7.2829,19,50000
Puzi,Puzi,Taiwan,23.4611,120.2419,50000
Korogwe,Korogwe,Tanzania,-5.0896,38.54,50000
Gogrial,Gogrial,South Sudan,8.5337,28.1167,50065
Poway,Poway,United States,32.9872,-117.0201,50077
Kampot,Kampot,Cambodia,10.6171,104.1833,50105
Otradnyy,Otradnyy,Russia,53.3778,51.3474,50127
Siguiri,Siguiri,Guinea,11.4171,-9.1666,50159
North Bay,North Bay,Canada,46.3,-79.45,50170
Ad Nabk,Ad Nabk,Syria,34.017,36.7333,50178
Ferreñafe,Ferrenafe,Peru,-6.63,-79.8,50184
Lakewood,Lakewood,United States,41.4824,-81.8008,50279
Sisophon,Sisophon,Cambodia,13.5838,102.9833,50302
Ma'an,Ma'an,Jordan,30.192,35.736,50350
Trujillo,Trujillo,Venezuela,9.3804,-70.44,50353
Sawahlunto,Sawahlunto,Indonesia,-0.6663,100.7833,50354
Arjona,Arjona,Colombia,10.26,-75.35,50405
Araguaína,Araguaina,Brazil,-7.19,-48.21,50444
Hua Hin,Hua Hin,Thailand,12.5697,99.9443,50456
Gbadolite,Gbadolite,Congo (Kinshasa),4.2904,21.0199,50493
Turbo,Turbo,Colombia,8.1004,-76.74,50508
Cerritos,Cerritos,United States,33.8677,-118.0686,50555
Passau,Passau,Germany,48.567,13.4666,50560
Xanthi,Xanthi,Greece,41.1418,24.8836,50570
Plainfield,Plainfield,United States,40.6153,-74.4159,50636
Phetchabun,Phetchabun,Thailand,16.419,101.159,50656
